doc_id,Name,org,source_type,date,language,study_title,card_text,text_org_masked_path,full_text_path,topic_seed,stakeholder_type,label_source,near_dup_cluster
hesa441_bill_c293_0001,"October 23, 2023",Canadian Federation of Agriculture,hesa_brief,2023-10-25,en,Bill C-293,"October 23, 2023 Standing Committee on Health Sixth Floor, [CONTACT] House of Commons Ottawa ON [CONTACT] Canada Via: [CONTACT] RE: Bill C-293, An Act respecting pandemic prevention and preparedness Dear Members of the Committee: On behalf of the undersigned representatives of Canada’s approximately 190,000 farm families, including commodity and general farm organizations, from coast to coast to coast, we submit to you our comments on the Standing Committee on Health’s study on Bill C-293, An Act respecting pandemic prevention and preparedness. Concern with the Bill’s impact on the Canadian animal agriculture sector We support the overall objective of Bill C-293, An Act respecting pandemic prevention and preparedness, which is to support pandemic preparedness, including measures that aim to enhance transparency regarding readiness levels and efforts that seek to strengthen Canada’s domestic manufacturing capacity with respect to any products relevant to pandemic production. The COVID-19 pandemic clearly illustrated the importance of strong domestic supply chains which ensure a continuous supply of essential goods to Canadians. However, we write today to express significant concerns with aspects Bill C-293, particularly in its impact on the Canadian animal agriculture sector. While the primary objective of the Bill is pandemic prevention and preparedness, it contains content and language that will adversely affect Canadian farmers and ranchers if passed in its current form. Specifically, we are concerned by the Bill’s language around livestock farming, the promotion of alternative proteins, and the focus on animal agriculture in the context of antimicrobial resistance rather than within the more",data/interim/clean/hesa441_bill_c293_0001_masked.txt,data/interim/clean/hesa441_bill_c293_0001.txt,public_health,,weak,
hesa441_bill_c293_0002,Standing Committee on Health Bill C-293 An Act Respecting Pandemic Prevention and Preparedness 2023 www.christianfarmers.org,Christian Farmers Federation of Ontario,hesa_brief,2023-10-25,en,Bill C-293,"Standing Committee on Health Bill C-293 An Act Respecting Pandemic Prevention and Preparedness 2023 www.christianfarmers.org [CONTACT] [CONTACT] @CFFOnt REPRESENTING FARMERS SINCE 1954 Brief to the Standing Committee on Health RE: Bill C-293 An Act Respecting Pandemic Prevention and Preparedness Recommendation That section 4 (2) (l), as currently worded, be removed from Bill C-293. Brief The [ORG] ([ORG]) recognizes the importance of preventing disease, particularly outbreaks that could lead to pandemic situations, and the need for preparedness to handle disease outbreaks when they do occur. We are writing to state our concern about the wording of Bill C-293. In particular, the [ORG] is concerned about the wording of section 4 (2) (l). One Health Approach Section 4 (2) (l) (i) gives responsibility for reducing risk of antimicrobial resistance solely to the Minister of Agriculture, when this should be shared by those responsible for risks and impacts of antimicrobial resistance within human and veterinary medicine, among others. This section should be removed from the Bill. It is important in looking at disease risk and spread to consider human, animal and environmental disease factors through an interdisciplinary One Health approach. Canada already has a “Pan-Canadian Action Plan on Antimicrobial Resistance,” developed using a One Health approach. It involves leadership across many levels of government and diverse stakeholders. Collaborative effort is needed to meaningfully address the risks and implement strategies across affected sectors. Animal Agriculture Section 4 (2) (l) (ii – iv) directly correlate animal agriculture with increased pandemic risk. These sections further direct",data/interim/clean/hesa441_bill_c293_0002_masked.txt,data/interim/clean/hesa441_bill_c293_0002.txt,public_health,,weak,
hesa441_bill_c293_0003,"A WRITTEN SUBMISSION FOR THE STANDING COMMITTEE ON HEALTH BY THE [ORG] GLOBAL HEALTH DIVISION (October 13, 2023)",Canadian Physiotherapy Association,hesa_brief,2023-10-19,en,Bill C-293,"A WRITTEN SUBMISSION FOR THE STANDING COMMITTEE ON HEALTH BY THE [ORG] GLOBAL HEALTH DIVISION (October 13, 2023) Role of Physiotherapy Expertise & Pandemic Prevention and Preparedness This submission is provided to the Standing Committee on Health regarding Bill C-293 (an Act respecting pandemic prevention and preparedness) by the Global Health Division of the Canadian Physiotherapy Association (CPA). Physiotherapy professionals offer a critical perspective which needs to be considered for pandemic prevention and preparedness. Physiotherapists are movement experts and leaders in ageing, injuries, diseases, and the identification of harmful lifestyle trends and environmental factors. Our education and practical experience are essential for relieving pain and enabling mobility without the use of drugs or surgeries, and helping to alleviate the growing pressures experienced in general practice and primary care1. Physiotherapy professionals have multi-dimensional expertise that makes them invaluable in pandemic planning as they can help support with: 1. Infection Control Physiotherapists are educated and trained in infection prevention and control measures. As a result, they can provide guidance on many aspects of infection prevention and control, such as the use of personal protective equipment (PPE) and disinfection protocols, which help to minimize the risk of spreading infectious diseases. 2. Risk Assessment Physiotherapists are highly skilled in assessing risk in multiple settings, including clinics, community settings, and hospitals, and can help recommend strategies to reduce risks in these settings. 3. Patient Management Physiotherapists are trained and skilled in patient evaluation, assessment, and management, and can support individualized treatment plans. 4. Triage Care",data/interim/clean/hesa441_bill_c293_0003_masked.txt,data/interim/clean/hesa441_bill_c293_0003.txt,public_health,physician_org,weak,
hesa441_bill_c293_0004,"Submission to the House of Commons Standing Committee on Health (HESA) Re: Bill C-293, Pandemic Prevention and Preparedness Act Melissa Matlow, Canadian Campaign Director, [ORG] Dear Chair and Committ",World Animal Protection,hesa_brief,2023-06-07,en,Bill C-293,"Submission to the House of Commons Standing Committee on Health (HESA) Re: Bill C-293, Pandemic Prevention and Preparedness Act Melissa Matlow, Canadian Campaign Director, [ORG] Dear Chair and Committee Members, [ORG] is an international animal welfare charity with offices in 12 countries and more than 300,000 supporters across Canada. We work with governments, corporations, and communities to develop sustainable evidence-based solutions that help people and animals alike. We have General Consultative Status with the UN, a formal working relationship with the World Organization of Animal Health (WOAH) and are members of the National Farm Animal Care Council (NFACC). [ORG] supports Bill C-293 because it takes a One Health approach to pandemic prevention, requiring government to address the underlying causes of pandemics. 75% of new or emerging infectious diseases over the past decade originated from animals; principally from wildlife (e.g., Mpox, Ebola, SARS, MERS, HIV/AIDS, Avian Flu, Swine Flu, West Nile, Nipah, Zika, COVID-19).i Our mistreatment of animals and nature is increasing the frequency and severity of disease outbreaks and the likelihood of the next pandemic. The wildlife trade (both illegal and underregulated legal trade), live animal markets and industrial animal agriculture have been identified as top drivers of pandemic risk and biodiversity loss in reports by United Nations Environment Programme (UNEP), International Livestock Research Institute (ILRI)ii and the Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES)iii. These drivers are also named in the current draft of the World Health Organization (WHO) ’Pandemic Treaty’iv and acknowledged in Bill C-293. We",data/interim/clean/hesa441_bill_c293_0004_masked.txt,data/interim/clean/hesa441_bill_c293_0004.txt,public_health,patient_advocacy,weak,
hesa441_bill_c293_0005,"[ORG] Submission to the House Standing Committee on Health Bill C-293, An Act respecting pandemic prevention and preparedness The job of Canada’s 2,800 chicken farmers is first and foremost to guarant",Chicken Farmers of Canada,hesa_brief,2023-06-05,en,Bill C-293,"[ORG] Submission to the House Standing Committee on Health Bill C-293, An Act respecting pandemic prevention and preparedness The job of Canada’s 2,800 chicken farmers is first and foremost to guarantee fresh, safe chicken raised with care for Canadians. Every single day, Canadian chicken farmers monitor their flocks for bird comfort and signs of disease, while following strict biosecurity standards to keep pathogens out of the barn. The Raised by a Canadian Farmer On-Farm Food Safety Program is a mandatory, third-party audited program of which 100% of Canadian chicken farmers across every province are certified. This means that farmers follow program protocols for best practices in biosecurity and disease prevention on the farm. The Program has received federal, provincial, and territorial government recognition, including full recognition by the Canadian Food Inspection Agency. [ORG] ([ORG]) supports the notion of ensuring that the government and the Canadian public is prepared for a pandemic as outlined in Bill C-293, An Act respecting pandemic prevention and preparedness. Many of the elements and reporting initiatives outlined in Bill C-293 are seen to provide visibility on the level of preparedness and insight into initiatives that the government is undertaking in this area. While C-293 seeks pandemic prevention and preparedness, the Bill includes content which goes beyond being prepared for a pandemic, and includes a negative, biased angle towards animal husbandry. [ORG]’s concerns with C-293 relate to the type of language used to describe animal agriculture, the focus on agriculture in the context of antimicrobial resistance instead",data/interim/clean/hesa441_bill_c293_0005_masked.txt,data/interim/clean/hesa441_bill_c293_0005.txt,public_health,,weak,
hesa441_bill_c293_0006,Submission to the House of Commons Standing Committee on Health RE: Bill C-293 ‘An Act respecting pandemic prevention and preparedness’ Submitted May 2023,Results Canada,hesa_brief,2023-05-30,en,Bill C-293,"Submission to the House of Commons Standing Committee on Health RE: Bill C-293 ‘An Act respecting pandemic prevention and preparedness’ Submitted May 2023 Dear Committee members, We appreciate this opportunity to submit our concerns and recommendations regarding the proposed wording of Bill C-293. [ORG] is a grassroots advocacy organization committed to ending extreme poverty worldwide, and as such, our remarks will focus on the international dimensions of pandemic prevention and preparedness. 1. Preamble: The experience of threats from previous diseases shows that Canada’s safety is largely influenced by the global capacity to detect and contain outbreaks and share relevant information in a timely fashion. We, therefore, suggest the following addition to the Preamble: Proposed amendment (addition underlined) “And whereas this approach requires sustained collaboration among various ministers, all levels of government, Indigenous communities, and international institutions;” 2. Scope of the Comprehensive Review of the COVID-19 Response: The COVID-19 Response included a significant international dimension, with direct budgetary outlays of $3.5 billion in official development assistance. Thus, the “exercise of powers” whose effectiveness is to be assessed in paragraph 3(4)(c) should include the provision of official development assistance to detect and contain outbreaks, as well as contribute to limit the spread of infections worldwide (and therefore potentially to Canada). The global disease detection and response network is only as strong as the weakest link. Article 44 of the International Health Regulations (IHR) 2005, to which Canada is a signatory, encourages states to collaborate “to the extent possible” in detecting and responding",data/interim/clean/hesa441_bill_c293_0006_masked.txt,data/interim/clean/hesa441_bill_c293_0006.txt,public_health,,weak,
hesa441_bill_c293_0007,"HESA Committee Submission [ORG] May 22, 2023 OVERVIEW",Canada Mink Breeders Association,hesa_brief,2023-05-30,en,Bill C-293,"HESA Committee Submission [ORG] May 22, 2023 OVERVIEW The [ORG] ([ORG]) is a not-for-profit association which provides leadership in research, best farming practices, marketing, and promotion of the mink farming sector both nationally and internationally. The [ORG] represents over 70 farms across Canada, which play a vital role in the nearly $100 million in economic contributions that the fur industry provides to the Canadian economy. Mink farming contributes greatly to rural economies in Ontario and Eastern Canada through direct and indirect job creation and contributes to the circular agriculture economy in these regions. Other agricultural sectors, as well as fishing and food processing industries, depend upon mink farms to accept millions of pounds of food wastes every year which may otherwise end up in landfills, creating environmental concerns. Mink farmers recycle this material into high quality mink feed. Operating under strict animal welfare standards, mink farmers produce beautiful warm fur that is desired by markets internationally. Long-lasting natural fur is a biodegradable and environmentally-friendly alternative to synthetic fabrics which are non-biodegradable and end up in landfills, taking hundreds of years to decompose. The [ORG] works closely with Federal and Provincial governments to ensure that industry biosecurity measures are up-to-date and followed by its members. While the [ORG] fully supports taking a closer look at how Canada can be better prepared for future pandemics, there is grave concern that the scope of this legislation as presently written could pose a serious threat to the future of animal agriculture, the rural economies",data/interim/clean/hesa441_bill_c293_0007_masked.txt,data/interim/clean/hesa441_bill_c293_0007.txt,unlabeled,,weak,
hesa441_bill_c64_0001,"OECTA Submission to the Standing Committee on Health Bill C-64, An Act Respecting",Ontario English Catholic Teachers' Association,hesa_brief,2024-06-21,en,Bill C-64,"OECTA Submission to the Standing Committee on Health Bill C-64, An Act Respecting Pharmacare June 2024 The Ontario English Catholic Teachers’ Association (OECTA) represents the 45,000 passionate and qualified teachers in Ontario’s publicly funded English Catholic schools, from Kindergarten to Grade 12. David Church General Secretary René Jansen in de Wal President Ontario English Catholic Teachers’ Association [CONTACT]. Clair Avenue East, Suite 400 Toronto, ON [CONTACT] [CONTACT] or [CONTACT] Fax: [CONTACT] catholicteachers.ca June 2024 1. INTRODUCTION ..................................................................................... 1 About OECTA ......................................................................................... 1 Background ........................................................................................... 2 2. CHALLENGES AND RECOMMENDATIONS ................................................... 3 3. AN IMPORTANT STEP FORWARD .............................................................. 7 4. WORKS CITED ....................................................................................... 7 1. INTRODUCTION 1.01 To the Members of the House of Commons Standing Committee on Health (HESA): The Ontario English Catholic Teachers’ Association (OECTA) welcomes the opportunity to provide input to HESA as it considers Bill C-64, An Act Respecting Pharmacare. 1.02 About OECTA OECTA represents 45,000 passionate and dedicated teachers working in publicly funded Catholic schools across Ontario. Our Association is committed to protecting and promoting the quality and accessibility of publicly funded education in Ontario, and to ensuring that every student we serve has the opportunity to succeed and thrive. Catholic teachers are strong advocates for social and economic justice, and strive every day to best support the students we serve, and to strengthen the schools and communities where we work and live. 1.03 Catholic teachers take a broad view of our responsibility to make this province, and country, a better place. This is not simply",data/interim/clean/hesa441_bill_c64_0001_masked.txt,data/interim/clean/hesa441_bill_c64_0001.txt,pharmacare,,weak,
hesa441_bill_c64_0002,Bill C-64 An Act respecting pharmacare Submission to the House of Commons Standing Committee on Health,Canadian Association of University Teachers,hesa_brief,2024-06-11,en,Bill C-64,"Bill C-64 An Act respecting pharmacare Submission to the House of Commons Standing Committee on Health May  The [ORG] ([ORG]) is the national voice of academic staff. [ORG] represents more than 72,000 teachers, librarians, researchers, and professional staff at Canadian public post-secondary institutions including universities, colleges, and polytechnics. [ORG] works in the public interest to improve the quality and accessibility of public post-secondary education in Canada. Need for a universal single-payer pharmacare program Expenditures on prescription drugs keep increasing every year. In 2023, spending on prescribed drugs was estimated to be just over $41 billion. Forty-three per cent of this spending was by public sector/governments ($17.7 billion), 37 per cent from private insurers/employers ($15.2 billion), and 20 per cent was out-of-pocket costs for people ($8.3 billion). Alongside other organizations, including the Canadian Health Coalition, of which [ORG] is a member, and the Canadian Labour Congress, [ORG] supports a singlepayer, universal pharmacare program. Bill C-64 is a first step towards this program. With many Canadians struggling to access prescription drugs and managing higher costs-of-living, the need for a national pharmacare program is obvious and immediate. Of all the beneficiaries covered under the private insurers’ share of prescription drug expenditure, 30 per cent are public sector employees at the federal, provincial, territorial, and municipal levels.1 Private and public drug plans have out-of-pocket cost barriers for many people through premiums, copayments, deductibles, and annual and lifetime limits. A universal public pharmacare programs will improve the health of Canadians, offer significant savings for",data/interim/clean/hesa441_bill_c64_0002_masked.txt,data/interim/clean/hesa441_bill_c64_0002.txt,pharmacare,,weak,
hesa441_bill_c64_0003,"Written Submission to the House of Commons Standing Committee on Eli Lilly Canada Inc. P.O. Box 73, Exchange Tower [CONTACT] West, Suite 900",Eli Lilly Canada Inc.,hesa_brief,2024-06-11,en,Bill C-64,"Written Submission to the House of Commons Standing Committee on Eli Lilly Canada Inc. P.O. Box 73, Exchange Tower [CONTACT] West, Suite 900 Toronto, Ontario [CONTACT] [CONTACT] | [CONTACT] www.lilly.ca Health Study: C-64, An act respecting pharmacare Submitted by Eli Lilly Canada Inc. May 27, 2024 Statement of Principles Lilly believes that all Canadians should have access to medicines they need. Canada currently operates as a dual-market system, meaning that Canadians are either publicly or privately insured for their medicines. Relatively speaking, a very small number of Canadians do not currently have drug insurance. Lilly supports a pharmacare model that provides coverage for those Canadians that are currently uninsured while maintaining Canada’s existing dual-market system. Lilly supports efforts to provide uninsured individuals with access to drug insurance, while incorporating the following principles: • Lilly supports healthcare reforms that provide access to those who currently lack it, while preserving or improving access for those who have it today; • All patients should have access to innovative therapies as part of their overall health benefit; • Patients should be active participants in their healthcare; • A competitive private market is an effective means of delivering efficient and highquality care for patients; and • Access to prescription drugs is crucial to meeting the needs of various vulnerable patient populations covered by public insurance programs. Based on its text, Bill C-64 is not aligned with these principles. The legislation contains provisions that could unnecessarily replace the coverage for privately insured individuals, disrupt access to",data/interim/clean/hesa441_bill_c64_0003_masked.txt,data/interim/clean/hesa441_bill_c64_0003.txt,pharmacare,,weak,
