doc_id,Name,org,source_type,date,language,study_title,card_text,text_org_masked_path,full_text_path,topic_seed,stakeholder_type,label_source,near_dup_cluster
hesa441_bill_c293_0001,"October 23, 2023",Canadian Federation of Agriculture,hesa_brief,2023-10-25,en,Bill C-293,"October 23, 2023 Standing Committee on Health Sixth Floor, [CONTACT] House of Commons Ottawa ON [CONTACT] Canada Via: [CONTACT] RE: Bill C-293, An Act respecting pandemic prevention and preparedness Dear Members of the Committee: On behalf of the undersigned representatives of Canada’s approximately 190,000 farm families, including commodity and general farm organizations, from coast to coast to coast, we submit to you our comments on the Standing Committee on Health’s study on Bill C-293, An Act respecting pandemic prevention and preparedness. Concern with the Bill’s impact on the Canadian animal agriculture sector We support the overall objective of Bill C-293, An Act respecting pandemic prevention and preparedness, which is to support pandemic preparedness, including measures that aim to enhance transparency regarding readiness levels and efforts that seek to strengthen Canada’s domestic manufacturing capacity with respect to any products relevant to pandemic production. The COVID-19 pandemic clearly illustrated the importance of strong domestic supply chains which ensure a continuous supply of essential goods to Canadians. However, we write today to express significant concerns with aspects Bill C-293, particularly in its impact on the Canadian animal agriculture sector. While the primary objective of the Bill is pandemic prevention and preparedness, it contains content and language that will adversely affect Canadian farmers and ranchers if passed in its current form. Specifically, we are concerned by the Bill’s language around livestock farming, the promotion of alternative proteins, and the focus on animal agriculture in the context of antimicrobial resistance rather than within the more",data/interim/clean/hesa441_bill_c293_0001_masked.txt,data/interim/clean/hesa441_bill_c293_0001.txt,public_health,,weak,
hesa441_bill_c293_0007,"HESA Committee Submission [ORG] May 22, 2023 OVERVIEW",Canada Mink Breeders Association,hesa_brief,2023-05-30,en,Bill C-293,"HESA Committee Submission [ORG] May 22, 2023 OVERVIEW The [ORG] ([ORG]) is a not-for-profit association which provides leadership in research, best farming practices, marketing, and promotion of the mink farming sector both nationally and internationally. The [ORG] represents over 70 farms across Canada, which play a vital role in the nearly $100 million in economic contributions that the fur industry provides to the Canadian economy. Mink farming contributes greatly to rural economies in Ontario and Eastern Canada through direct and indirect job creation and contributes to the circular agriculture economy in these regions. Other agricultural sectors, as well as fishing and food processing industries, depend upon mink farms to accept millions of pounds of food wastes every year which may otherwise end up in landfills, creating environmental concerns. Mink farmers recycle this material into high quality mink feed. Operating under strict animal welfare standards, mink farmers produce beautiful warm fur that is desired by markets internationally. Long-lasting natural fur is a biodegradable and environmentally-friendly alternative to synthetic fabrics which are non-biodegradable and end up in landfills, taking hundreds of years to decompose. The [ORG] works closely with Federal and Provincial governments to ensure that industry biosecurity measures are up-to-date and followed by its members. While the [ORG] fully supports taking a closer look at how Canada can be better prepared for future pandemics, there is grave concern that the scope of this legislation as presently written could pose a serious threat to the future of animal agriculture, the rural economies",data/interim/clean/hesa441_bill_c293_0007_masked.txt,data/interim/clean/hesa441_bill_c293_0007.txt,unlabeled,,weak,
hesa441_bill_c64_0001,"OECTA Submission to the Standing Committee on Health Bill C-64, An Act Respecting",Ontario English Catholic Teachers' Association,hesa_brief,2024-06-21,en,Bill C-64,"OECTA Submission to the Standing Committee on Health Bill C-64, An Act Respecting Pharmacare June 2024 The Ontario English Catholic Teachers’ Association (OECTA) represents the 45,000 passionate and qualified teachers in Ontario’s publicly funded English Catholic schools, from Kindergarten to Grade 12. David Church General Secretary René Jansen in de Wal President Ontario English Catholic Teachers’ Association [CONTACT]. Clair Avenue East, Suite 400 Toronto, ON [CONTACT] [CONTACT] or [CONTACT] Fax: [CONTACT] catholicteachers.ca June 2024 1. INTRODUCTION ..................................................................................... 1 About OECTA ......................................................................................... 1 Background ........................................................................................... 2 2. CHALLENGES AND RECOMMENDATIONS ................................................... 3 3. AN IMPORTANT STEP FORWARD .............................................................. 7 4. WORKS CITED ....................................................................................... 7 1. INTRODUCTION 1.01 To the Members of the House of Commons Standing Committee on Health (HESA): The Ontario English Catholic Teachers’ Association (OECTA) welcomes the opportunity to provide input to HESA as it considers Bill C-64, An Act Respecting Pharmacare. 1.02 About OECTA OECTA represents 45,000 passionate and dedicated teachers working in publicly funded Catholic schools across Ontario. Our Association is committed to protecting and promoting the quality and accessibility of publicly funded education in Ontario, and to ensuring that every student we serve has the opportunity to succeed and thrive. Catholic teachers are strong advocates for social and economic justice, and strive every day to best support the students we serve, and to strengthen the schools and communities where we work and live. 1.03 Catholic teachers take a broad view of our responsibility to make this province, and country, a better place. This is not simply",data/interim/clean/hesa441_bill_c64_0001_masked.txt,data/interim/clean/hesa441_bill_c64_0001.txt,pharmacare,,weak,
hesa441_bill_c64_0003,"Written Submission to the House of Commons Standing Committee on Eli Lilly Canada Inc. P.O. Box 73, Exchange Tower [CONTACT] West, Suite 900",Eli Lilly Canada Inc.,hesa_brief,2024-06-11,en,Bill C-64,"Written Submission to the House of Commons Standing Committee on Eli Lilly Canada Inc. P.O. Box 73, Exchange Tower [CONTACT] West, Suite 900 Toronto, Ontario [CONTACT] [CONTACT] | [CONTACT] www.lilly.ca Health Study: C-64, An act respecting pharmacare Submitted by Eli Lilly Canada Inc. May 27, 2024 Statement of Principles Lilly believes that all Canadians should have access to medicines they need. Canada currently operates as a dual-market system, meaning that Canadians are either publicly or privately insured for their medicines. Relatively speaking, a very small number of Canadians do not currently have drug insurance. Lilly supports a pharmacare model that provides coverage for those Canadians that are currently uninsured while maintaining Canada’s existing dual-market system. Lilly supports efforts to provide uninsured individuals with access to drug insurance, while incorporating the following principles: • Lilly supports healthcare reforms that provide access to those who currently lack it, while preserving or improving access for those who have it today; • All patients should have access to innovative therapies as part of their overall health benefit; • Patients should be active participants in their healthcare; • A competitive private market is an effective means of delivering efficient and highquality care for patients; and • Access to prescription drugs is crucial to meeting the needs of various vulnerable patient populations covered by public insurance programs. Based on its text, Bill C-64 is not aligned with these principles. The legislation contains provisions that could unnecessarily replace the coverage for privately insured individuals, disrupt access to",data/interim/clean/hesa441_bill_c64_0003_masked.txt,data/interim/clean/hesa441_bill_c64_0003.txt,pharmacare,,weak,
hesa441_bill_c64_0005,"May 27, 2024 Standing Committee on Health Sixth Floor, [CONTACT] House of Commons",American Chamber of Commerce in Canada,hesa_brief,2024-06-11,en,Bill C-64,"May 27, 2024 Standing Committee on Health Sixth Floor, [CONTACT] House of Commons Ottawa ON [CONTACT] Via email: [CONTACT] Re: Written Submission in Response to Bill C-64, An Act Respecting Pharmacare Dear Members of the Standing Committee on Health: The [ORG] (AmCham Canada) is a private, nonprofit, membership organization that promotes the two-way flow of trade, goods, services and investment between Canada and the United States. On behalf of the members of AmCham Canada, we welcome the opportunity to provide our perspective on Bill C-64, An Act Respecting Pharmacare. We commend the Government of Canada’s aspiration to improve public health and reduce healthcare system strain through providing more equitable access to prescription drug coverage. However, we believe the proposed single-payer system as set out under Bill C-64 presents significant challenges that could disrupt existing care systems and increase uncertainty for Canadians. Our primary concern with the Bill, as currently drafted, is its potential negative impact on the accessibility and availability of new innovative medicines in Canada. We remain concerned that there has been no assessment on supply chain implications and the risks this could create from a patient, health case system and industrial impact must not be understated. Canadians deserve timely access to the medicines they need under any coverage scheme. Public plan patients experience significantly longer wait times for new medicines compared to those with private insurance. Currently, Canadians must wait over two years to access new medicines through current public drug plans, which is a year longer than",data/interim/clean/hesa441_bill_c64_0005_masked.txt,data/interim/clean/hesa441_bill_c64_0005.txt,pharmacare,,weak,
hesa441_bill_c64_0007,"Standing Committee on Health (HESA) Sixth Floor, [CONTACT] House of Commons Ottawa ON [CONTACT]",Life Sciences Ontario,hesa_brief,2024-06-10,en,Bill C-64,"Standing Committee on Health (HESA) Sixth Floor, [CONTACT] House of Commons Ottawa ON [CONTACT] Canada May 24, 2024 Subject: HESA study on Bill C-64 Dear Honourable Members, On behalf of [ORG] ([ORG]), thank you for the opportunity to provide input on the House of Commons Health Committee’s (HESA’s) review of Bill C-64, “An Act respecting pharmacare.” As a procedural matter, [ORG] wishes to emphasize its profound concern regarding the unprecedented speed with which this legislation is being advanced through Parliament. The intention to fast-track the bill and condense what normally takes months into a few short days raises significant concerns about insufficient debate and consideration of the complex issues at stake. It also precludes sufficient time for stakeholders to provide informed feedback and even for parliamentarians to review and provide informed input on legislation that will have significant impacts on how Canadians access medicines. This bill will have far-reaching implications for all stakeholders, including patients, healthcare providers, and the entire life sciences ecosystem, just to name a few. It deserves much more thorough scrutiny and review. In fact, just a few weeks ago, your committee unanimously recommended that government officials consider case studies to help inform rules related to the Patented Medicine Prices Review Board. We would have expected case studies and other research to be shared publicly to inform parliamentarians deliberating on Bill C-64. In this context, as the HESA committee begins its deliberations on the proposed pharmacare bill and a potential single-payer pharmacare program in Canada, below are",data/interim/clean/hesa441_bill_c64_0007_masked.txt,data/interim/clean/hesa441_bill_c64_0007.txt,pharmacare,industry,weak,
hesa441_bill_c64_0008,TYPE 1 TOGETHER This brief presents two ideas: • The national pharmacare formulary must cover the diabetes drugs on the World Health Organization's,Type 1 Together,hesa_brief,2024-06-06,en,Bill C-64,"TYPE 1 TOGETHER This brief presents two ideas: • The national pharmacare formulary must cover the diabetes drugs on the World Health Organization's Essential Medicines List. • Diabetes drugs and the devices that deliver them must be free as a matter of social justice. IDEA #1: MEET THE WORLD HEALTH ORGANIZATION STANDARD: ADD COVERAGE OF GLUCAGON AND TRESIBA Health Canada's ""Universal Access to Diabetes Medications, and Diabetes Device Fund for Devices and Supplies"" webpage suggests that the national pharmacare formulary will not cover glucagon or Tresiba (insulin degludec). However, glucagon and Tresiba are essential medications: the World Health Organization (WHO) added glucagon to its List of Essential Medicines in 2011 , and insulin degludec in 2021 . According to the WHO, ""Essential medicines are those that satisfy the priority health care needs of a population. They are selected with due regard to disease prevalence and public health relevance, evidence of efficacy and safety and comparative cost-effectiveness. They are intended to be available in functioning health systems at all times, in appropriate dosage forms, of assured quality and at prices individuals and health systems can afford."" As a community, we expect Canada's national formulary to include the Type 1 Diabetes drugs on the WHO's List of Essential Medicines. Glucagon is an emergency rescue drug. Doctors prescribe glucagon kits so patients, or their caregivers, can rapidly reverse severe low blood glucose levels. It resolves seizures and unconsciousness. When patients have a kit at home, they do not need to call 911 so",data/interim/clean/hesa441_bill_c64_0008_masked.txt,data/interim/clean/hesa441_bill_c64_0008.txt,pharmacare,,weak,
hesa441_bill_c64_0009,"Submission of the [ORG] to the House of Commons Standing Committee on Health Consideration of Bill C-64, An Act respecting Pharmacare May 23, 2024",Canadian Generic Pharmaceutical Association,hesa_brief,2024-06-06,en,Bill C-64,"Submission of the [ORG] to the House of Commons Standing Committee on Health Consideration of Bill C-64, An Act respecting Pharmacare May 23, 2024 Contact: Jody Cox, [ORG] Vice President Federal and International Affairs [CONTACT] | [CONTACT] Introduction The [ORG] and its Biosimilars Canada division thank Members of the Committee for the opportunity to contribute to the Committee’s study of Bill C-64, An Act respecting pharmacare. The generic and biosimilar medicines industries are important pharmacare stakeholders and supply more than three-quarters of all prescription medicines used by Canadian patients. We continue to seek greater clarity with respect to the proposed pharmacare regime. Many aspects will not be determined until after Bill C-64 receives Royal Assent and will remain the purview of the Minister of Health. This submission will outline the value of generic and biosimilar medicines for Canadians, and provide our perspectives on two aspects of Bill C-64 and the February 29, 2024 pharmacare announcement – “Bulk Purchasing” and the Lists of Drugs / Formulary of Essential Medicines. In addition, this submission provides recommendations for guiding principles that should be included in the bilateral agreements to be negotiated for the implementation of pharmacare. The Value of Generic and Biosimilar Medicines Making prescription medicines more affordable and accessible is the key value proposition of Canada’s generic pharmaceutical and biosimilar medicines industries. That is why the Advisory Council on the Implementation of National Pharmacare’s Final Report recommended policies that encourage patients and prescribers to choose costeffective generic and biosimilar therapies to help",data/interim/clean/hesa441_bill_c64_0009_masked.txt,data/interim/clean/hesa441_bill_c64_0009.txt,pharmacare,industry,weak,
hesa441_bill_c64_0010,Submission to the STANDING COMMITTEE ON HEALTH ON AN ACT RESPECTING PHARMACARE (BILL C-64),Canadian Life and Health Insurance Association,hesa_brief,2024-06-06,en,Bill C-64,"Submission to the STANDING COMMITTEE ON HEALTH ON AN ACT RESPECTING PHARMACARE (BILL C-64) May 22, 2024 EXECUTIVE SUMMARY All Canadians should have access to the drugs they have been prescribed. The federal government should focus on ensuring Canadians have access to prescription drugs by focusing scarce federal dollars on those without coverage. This legislation does not help reduce the gap in prescription drug coverage for all drugs, instead Bill C-64 risks: • Disrupting existing prescription drug coverage paid for by employers; • Limiting choice for Canadians; • Using scarce federal fiscal resources to replace existing coverage; and • Failing to provide coverage for uninsured Canadians who rely on other medications beyond a short list of diabetes medications and contraceptives. The [ORG] recommends that the Bill be amended to focus on ensuring universal coverage for all Canadians by addressing any gaps that currently exist and providing transparency and clarity on its’ policy intent. We have provided more details in our submission. Section one provides further details on our industry’s key concerns with the Bill. Section two presents our industry’s recommended amendments to the Bill. The annex provides data on workplace benefit plans coverage for diabetes medications, diabetes devices or supplies, and contraceptives. SECTION ONE: KEY CONCERNS AND CONSIDERATIONS Scope of Bill C-64 is broad and may be a significant disruption to existing prescription drug coverage that is working well for the vast majority Workplace benefit plans are a key pillar of Canada’s healthcare system. 27 million Canadians have access to",data/interim/clean/hesa441_bill_c64_0010_masked.txt,data/interim/clean/hesa441_bill_c64_0010.txt,pharmacare,industry,weak,
hesa441_bill_c64_0014,"May 22, 2024",Ontario Federation of Labour,hesa_brief,2024-05-31,en,Bill C-64,"May 22, 2024 SENT VIA EMAIL: [CONTACT] Standing Committee on Health Sixth Floor, [CONTACT] House of Commons Ottawa ON [CONTACT] Canada Dear Members of the House of Commons Standing Committee on Health, The [ORG] ([ORG]) represents 54 unions and empowers more than a million workers from all regions of the province in their struggle for better working and living conditions. We are pleased to make a submission on Bill C-64, An Act Respecting Pharmacare. We are dedicated to making the lives of all workers and their families safe, secure, and healthy. We believe that every worker is entitled, without discrimination, to a job with decent wages, benefits, and working conditions. We commit ourselves to the goals of worker democracy, social and economic justice, equality, and peace – and that includes fighting for universal pharmacare for all Ontarians and Canadians. Prescription drugs are unaffordable for millions of Ontarians today. Too many families worry about how they will pay for their medications. More and more people are being forced to choose between paying for their electricity, housing, medications, and food. And the problem is getting worse – not better – as the cost-of-living skyrockets. People should not be forced to forgo their medicines as prescribed because of cost. Not filling prescriptions, not renewing prescriptions, skipping doses, or splitting pills to make a prescription last longer is a systemic failure. In fact, Canada is the only high-income country with universal health care that does not have universal coverage for prescription drugs. Ontario’s existing",data/interim/clean/hesa441_bill_c64_0014_masked.txt,data/interim/clean/hesa441_bill_c64_0014.txt,pharmacare,,weak,
hesa441_bill_c64_0015,Bill C-64 An Act respecting pharmacare Submission to the House of Commons Standing Committee on Health [ORG],Novo Nordisk Canada,hesa_brief,2024-05-31,en,Bill C-64,"Bill C-64 An Act respecting pharmacare Submission to the House of Commons Standing Committee on Health [ORG] May 2024 existing insurance market for diabetes products, resulting in a claw back of benefits for the nearly 70%1 of Canadians who depend on access to medicines through a private insurance plan. This means a shift in costs from private insurers to the government payor, resulting in less choice and a lower standard of care across the board. Introduction Novo Nordisk is a leading global healthcare company, founded in 1923 and headquartered in Denmark. As the supplier of nearly 50% of the world’s insulin, our purpose is to drive change to defeat serious chronic diseases, building on our heritage in diabetes. Choosing to invest instead in comprehensive targeted coverage for the 2.8%2 of Canadians who are uninsured would mean a higher standard of care for everyone. Impact on private insurance coverage [ORG] appreciates the opportunity to share its feedback with the committee on Bill C-64, An Act respecting pharmacare. This submission will also provide comments on government announcements associated with the legislation, including Health Canada’s proposed List of diabetes medications to be discussed with PTs for specific coverage. We support the policy recommendations advanced by our trade association, Innovative Medicines Canada. In addition, we have four key concerns with respect to patient choice, drug shortages, delayed access, and transparency that we wish to highlight for the Committee: Sarah (49) works part-time as a supply teacher in Oshawa, Ontario. She lives with type 2",data/interim/clean/hesa441_bill_c64_0015_masked.txt,data/interim/clean/hesa441_bill_c64_0015.txt,pharmacare,industry,weak,
hesa441_bill_c64_0017,"[ORG], AFL-CIO, CLC Submission to the House of Commons Standing Committee on Health: Bill C-64, An Act respecting pharmacare",International Association of Fire Fighters,hesa_brief,2024-05-31,en,Bill C-64,"[ORG], AFL-CIO, CLC Submission to the House of Commons Standing Committee on Health: Bill C-64, An Act respecting pharmacare May, 2024 Introduction On behalf of the 29,721 professional fire fighters, paramedics and emergency services support staff we represent across Canada, the [ORG] ([ORG]) welcomes the opportunity to provide our views and recommendations in support of Bill C-64, An Act respecting pharmacare. At a time when inflation, high interest rates and corporate profiteering have combined to create an affordability crisis in Canada, the [ORG] strongly supports the development of national pharmacare as a means of ensuring all Canadians have timely and affordable access to medications they need for their health and wellbeing, regardless of their income, their employment status, their age, the province in which they live or any other factor. Implementing a single-payer national pharmacare program in Canada is imperative to address the critical issue of drug affordability, ensuring equitable access to essential medications for all Canadians. The current fragmented system, where prescription drug coverage is provided through a patchwork of private insurance plans and provincial programs, leaves many without adequate coverage. This inequity leads to significant financial burdens on individuals and families, particularly those with chronic illnesses or low incomes. As it stands, approximately 20% of Canadians are either uninsured or underinsured for prescription drugs; 10 per cent are unable to afford one or more of their prescription drugs. This lack of coverage forces many to forego necessary medications due to cost, which can exacerbate health issues, or to",data/interim/clean/hesa441_bill_c64_0017_masked.txt,data/interim/clean/hesa441_bill_c64_0017.txt,pharmacare,,weak,
hesa441_bill_c64_0018,"[CONTACT] 200-[CONTACT] OTTAWA, ON [CONTACT] canadians.org",Council of Canadians,hesa_brief,2024-05-31,en,Bill C-64,"[CONTACT] 200-[CONTACT] OTTAWA, ON [CONTACT] canadians.org [CONTACT] @CanadiansOrg Briefing Note on Bill C-64 (Pharmacare Act) for the Standing Committee on Health by the [ORG] SUMMARY Bill C-64 (The Pharmacare Act) is an important first step towards a universal pharmacare system that will lower drugs costs and ensure everyone in Canada can access the medicines they need. Ensuring that people get access to prescription drugs with their health card, not their credit card, must be the objective. By launching pharmacare with universal, first-dollar coverage for two crucial classes of drugs (contraceptives and diabetes medications and devices), Bill C-64 promises to do that. That promise, however, is threatened by a lack of clarity in the legislation on the model of pharmacare adopted, a lack of funding needed to ensure a swift roll out of the program, and a lack of safeguards to prevent corporate interests from infiltrating the committee of experts and unduly influencing the government’s deliberations. RECOMMENDATION 1: Bill C-64 must be amended to clearly require that all new drugs added to the formulary in the future receive universal, single-payer, first-dollar coverage. RECOMMENDATION 2: The federal government should accelerate the rollout of national pharmacare by fully funding coverage for the first two drug classes, and by providing generous funding terms to the provinces and territories for the program’s subsequent expansion RECOMMENDATION 3: Bill C-64 must require that nominees to the Committee of Experts mandated by the bill fully disclose all potential conflicts of interest, and that any such conflicts result in",data/interim/clean/hesa441_bill_c64_0018_masked.txt,data/interim/clean/hesa441_bill_c64_0018.txt,pharmacare,,weak,
hesa441_bill_c64_0020,"[ORG]’s Submission to the House of Commons Standing Committee of Health regarding their study on Bill C-64, An Act Respecting Pharmacare Rare Disease in Bill C-64: Similarities, Deviations, and Learni",Canadian Organization for Rare Disorders,hesa_brief,2024-05-31,en,Bill C-64,"[ORG]’s Submission to the House of Commons Standing Committee of Health regarding their study on Bill C-64, An Act Respecting Pharmacare Rare Disease in Bill C-64: Similarities, Deviations, and Learnings May 22, 2024 The [ORG] ([ORG]) welcomes the opportunity to provide feedback on Bill C-64, drawing especially on our experience with the implementation of the Canadian Rare Disease Drug Strategy (RDDS), specifically the progress and challenges to date. To put our comments into context, it is important to note that rare disease is a significant public health issue which directly impacts over 3 million Canadians (1 in 12 Canadians). Each rare disease, by definition, affects a very a small number of citizens. Most rare diseases have severe, debilitating, or life-threatening consequences. While most affect children, there are a significant number of adult-onset rare conditions being diagnosed. Among the 7,000 known rare diseases, only 5% have an effective drug therapy; it is frustrating and unconscionable that only 60% are approved here in Canada, due, in part, to Canada’s long, slow, multi-step, highly uncertain coverage process. Moreover, only about 25% of rare disease therapies approved by Health Canada and recommended by Canada’s Drug Agency (CDA) and/or Institut national d'excellence en santé et services sociaux (INESSS) ever get to patients through the public drug plans. Rare disease patients with no access to effective therapy undergo suboptimal surgeries or rely on off-label drugs. Many experience avoidable decline in functionality, forcing them to drop out of school or leave their jobs; others suffer preventable life-threatening",data/interim/clean/hesa441_bill_c64_0020_masked.txt,data/interim/clean/hesa441_bill_c64_0020.txt,pharmacare,patient_advocacy,weak,
hesa441_bill_c64_0026,Submission to the Standing Committee on Health Bill C-64: An Act respecting pharmacare May 2024,MS Canada,hesa_brief,2024-05-27,en,Bill C-64,"Submission to the Standing Committee on Health Bill C-64: An Act respecting pharmacare May 2024 Introduction Canada has one of the highest rates of multiple sclerosis (MS) in the world. An estimated 90,000 Canadians live with the disease, and, on average, 12 Canadians are diagnosed with MS every day. About three-quarters of Canadians who live with MS are women and most people are diagnosed between the ages of 20 and 49. MS is a neurological disease of the central nervous system (CNS) which includes the brain, spinal cord, and optic nerves. In MS, the body’s immune system mistakenly attacks myelin, the protective covering of nerve fibres. Myelin is needed to effectively send messages to and from the brain. Damage to the myelin can result in loss of nerve fibres over time, and these changes contribute to disease progression. Symptoms of MS are unpredictable and vary in severity from person to person and may include fatigue, pain, walking difficulties, weakness, vision problems, bladder and bowel dysfunction, and cognitive and mood changes. The episodic yet progressive nature of MS makes it particularly challenging to maintain an adequate quality of life. [ORG] provides information, support, and advocacy for Canadians affected by MS, and funds research to find the cause and cure for the disease. As part of the MS community, we are committed to ensuring Canadians living with MS, and their families, can participate fully in all aspects of life. We continue to ask governments to remove barriers and improve policies that impact",data/interim/clean/hesa441_bill_c64_0026_masked.txt,data/interim/clean/hesa441_bill_c64_0026.txt,pharmacare,patient_advocacy,weak,
hesa441_bill_c64_0027,"Improving Coverage and Access to Innovative Medicines for Canadians Standing Committee of Health study of Bill C-64 May 22, [CONTACT] | Suite/bureau 1220 | Ottawa, ON | [CONTACT] | [CONTACT] | innovat",Innovative Medicines Canada,hesa_brief,2024-05-27,en,Bill C-64,"Improving Coverage and Access to Innovative Medicines for Canadians Standing Committee of Health study of Bill C-64 May 22, [CONTACT] | Suite/bureau 1220 | Ottawa, ON | [CONTACT] | [CONTACT] | innovativemedicines.ca Confidential | Confidentiel INTRODUCTION [ORG] ([ORG]) is pleased to provide comments in writing to the Standing Committee on Health (HESA) regarding its study on Bill C-64, An Act respecting pharmacare (“the Bill”). [ORG] shares the Government of Canada’s goal to improve access to medicines for all Canadians, and we seek to collaborate with government towards solutions for the total health of Canadians. Canadians deserve access to the medicines they need, when they need them. However, Canadians currently must wait more than two years to access new medicines through public drug plans – a full year longer than patients in many other developed countries. As currently drafted, [ORG]’s overriding concern with the Bill is its potentially negative impact on access and availability to new medicines in Canada. Mandating a single-payer, firstdollar system would reduce existing coverage, delay access to innovative therapies, and put additional strain on the Canadian healthcare system. As HESA Members consider the merits and impacts of the Bill, it is critical to ensure that any pharmacare program elevates the standard of Canadians’ access to innovative medicines. The Government of Canada’s approach must ensure that patients not only get the medicines they need, but that access to these lifechanging treatments is timely and efficient. 97.2% of Canadians already have access to pharmaceutical coverage, and insurance gaps are",data/interim/clean/hesa441_bill_c64_0027_masked.txt,data/interim/clean/hesa441_bill_c64_0027.txt,pharmacare,industry,weak,
hesa441_bill_c64_0030,[Cover Page] [ORG] HESA Committee Brief Bill C-64,Smart Health Benefits Coalition,hesa_brief,2024-05-24,en,Bill C-64,"[Cover Page] [ORG] HESA Committee Brief Bill C-64 Submitted by: Carolyne Eagan, Principal Coalition Representative & President of Benefits Alliance Critical Considerations 1. A first-payer model will require taxpayers to carry the whole cost of drugs and fees. Currently, employer-sponsored drug benefits provide over $20B toward medication for Canadian families every year, as a well-functioning part of our comprehensive healthcare system.3 Employer-sponsored plans typically cover more than three times as many drugs as public plans and approve new drugs for use more than three times as fast as governments do.4 2. As outlined in the Canada Health Act, where there is a single-payer public reimbursement system, private insurance contracts would not be permitted to pay for the publicly covered drugs. Therefore, neither employers nor Canadians will have a choice between existing coverage and public coverage as proposed in C-64. Rather, they will be required to use the public plan for these specific treatments and can only rely on an employer-sponsored plan for any treatments not covered under the limited public formulary. This will cause confusion, potentially layer costs on to patients, and likely lead to reduced coverage under employersponsored plans seeking efficiencies with a new public payer. Additionally, this has a tremendous impact on the recent cost estimate from the Parliamentary Budget Officer, as the $4B currently covered by private plans would necessarily be borne by a single-payer model. 3. The biggest cost pressure is rare disease and high-cost therapies, like those for cystic fibrosis, Crohn’s, and cancer. One family",data/interim/clean/hesa441_bill_c64_0030_masked.txt,data/interim/clean/hesa441_bill_c64_0030.txt,pharmacare,,weak,
hesa441_bill_c64_0033,Submitted via e-mail to: [CONTACT],AbbVie Corporation,hesa_brief,2024-05-24,en,Bill C-64,"Submitted via e-mail to: [CONTACT] May 23, 2024 Subject: Health Committee Review of Bill C-64: An Act Respecting Pharmacare Thank you for the opportunity to provide written input to help inform HESA’s review of Bill C-64: An Act Respecting Pharmacare. AbbVie shares the federal government's aspiration to ensure Canadians' unhindered access to essential medicines, removing affordability barriers. We are a member of Innovative Medicines Canada (IMC) and we are aligned with the positions and recommendations contained in IMC’s submission to HESA on Bill C-64. In this submission, we are pleased to share some additional perspective. AbbVie is one of the largest biopharmaceutical companies operating in Canada. We have offices in Montreal, Quebec, and Markham, Ontario, and directly employ over 1,000 Canadians across the country. More than a million Canadians benefit from our medicines annually. Our mission is to discover and deliver innovative medicines that solve serious health issues today and address the medical challenges of tomorrow. AbbVie strives to make a remarkable impact on people's lives across several therapeutic areas: immunology, oncology, neuroscience, vision care, virology, and gynecology, in addition to products and services across our Allergan Aesthetics portfolio. Our core recommendation to HESA and to the Government of Canada regarding pharmacare is to support provinces/territories to improve the timely funding of innovative medicines by their respective drug plans and build “time-to-public-funding” for medicines into national health system reporting metrics. While over 97% of Canadians qualify1 for benefits under either public or private drug plans, coverage gaps persist, notably in",data/interim/clean/hesa441_bill_c64_0033_masked.txt,data/interim/clean/hesa441_bill_c64_0033.txt,pharmacare,,weak,
