doc_id,true_label,predicted_label,raw_output,parse_method,parse_candidates,method,model,timestamp,prompt_tokens,output_tokens,total_duration_ms,load_duration_ms
hesa441_oversight_of_medical_devices_0022,pharmacare,,,failed,,baseline_zeroshot,gemma4:12b,2026-07-18T18:00:16.422666+00:00,793,2048,63869.418404,667.584528
hesa441_bill_c293_0005,public_health,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:18:30.248847+00:00,802,10,2258.71897,304.087595
hesa441_bill_c64_0019,pharmacare,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:18:30.248847+00:00,800,10,1019.315071,250.668749
hesa441_bill_c64_0032,pharmacare,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:18:30.248847+00:00,790,10,1137.565815,250.238448
hesa441_bill_c64_0037,pharmacare,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:18:30.248847+00:00,836,10,1091.861899,249.309523
hesa441_canadas_health_workforce_0021,workforce,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:18:30.248847+00:00,650,10,979.4724,253.208445
hesa441_canadas_health_workforce_0022,public_health,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:18:30.248847+00:00,800,10,1146.778663,256.721286
hesa441_childrens_health_0013,unlabeled,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:18:30.248847+00:00,805,10,1022.369083,241.536004
hesa441_childrens_health_0031,public_health,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:18:30.248847+00:00,829,10,1148.728725,238.027641
hesa441_childrens_health_0039,unlabeled,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:18:30.248847+00:00,800,10,1012.566571,244.031126
hesa441_emergency_situation_facing_c_0009,public_health,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:18:30.248847+00:00,790,10,1099.751319,246.702774
hesa441_emergency_situation_facing_c_0035,unlabeled,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:18:30.248847+00:00,704,10,948.562719,248.07106
hesa441_emergency_situation_facing_c_0053,unlabeled,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:18:30.248847+00:00,779,10,1038.595857,247.511314
hesa441_emergency_situation_facing_c_0066,public_health,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:18:30.248847+00:00,774,10,1001.881124,250.697717
hesa441_emergency_situation_facing_c_0090,public_health,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:18:30.248847+00:00,789,10,983.373526,247.233185
hesa441_emergency_situation_facing_c_0105,public_health,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:18:30.248847+00:00,779,10,975.66453,237.57666
hesa441_emergency_situation_facing_c_0109,public_health,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:18:30.248847+00:00,781,10,1117.854059,248.251927
hesa441_emergency_situation_facing_c_0119,unlabeled,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:18:30.248847+00:00,757,10,1014.11212,242.098483
hesa441_emergency_situation_facing_c_0143,public_health,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:18:30.248847+00:00,869,10,1197.640379,259.072738
hesa441_bill_c293_0005,public_health,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:23:24.115493+00:00,802,10,3572.807488,270.449065
hesa441_bill_c64_0019,pharmacare,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:23:24.115493+00:00,800,10,1156.781635,245.354597
hesa441_bill_c64_0032,pharmacare,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:23:24.115493+00:00,790,10,1132.803801,245.526398
hesa441_bill_c64_0037,pharmacare,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:23:24.115493+00:00,836,10,1203.036558,249.813533
hesa441_canadas_health_workforce_0021,workforce,,,failed,,baseline_zeroshot,qwen3:14b,2026-07-18T18:23:24.115493+00:00,650,10,983.327279,245.695112
